PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 560                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P016"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:08.38                                     
START_TIME                    = 2001-11-04T14:04:41.00Z                                    
STOP_TIME                     = 2001-11-04T14:13:22.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 522                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 016 of aerobraking at Mars.  The data comes from                       
  p016_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-308T14:06:01.000  0.000752  0.000122 -0.000650 -0.037908 -0.055668  0.565491 -0.822000
2001-308T14:06:02.000  0.000758  0.000124 -0.000632 -0.038239 -0.055517  0.565770 -0.821803
2001-308T14:06:03.000  0.000770  0.000131 -0.000621 -0.038573 -0.055363  0.566045 -0.821608
2001-308T14:06:04.000  0.000783  0.000118 -0.000615 -0.038909 -0.055206  0.566320 -0.821414
2001-308T14:06:05.000  0.000783  0.000126 -0.000612 -0.039250 -0.055047  0.566593 -0.821220
2001-308T14:06:06.000  0.000795  0.000119 -0.000606 -0.039592 -0.054885  0.566862 -0.821028
2001-308T14:06:07.000  0.000814  0.000131 -0.000597 -0.039934 -0.054723  0.567125 -0.820841
2001-308T14:06:08.000  0.000814  0.000122 -0.000588 -0.040288 -0.054553  0.567392 -0.820650
2001-308T14:06:09.000  0.000824  0.000130 -0.000583 -0.040644 -0.054383  0.567652 -0.820464
2001-308T14:06:10.000  0.000831  0.000125 -0.000579 -0.041000 -0.054210  0.567910 -0.820279
2001-308T14:06:11.000  0.000843  0.000128 -0.000571 -0.041361 -0.054033  0.568166 -0.820096
2001-308T14:06:12.000  0.000851  0.000122 -0.000563 -0.041727 -0.053854  0.568419 -0.819913
2001-308T14:06:13.000  0.000860  0.000125 -0.000559 -0.042093 -0.053674  0.568669 -0.819733
2001-308T14:06:14.000  0.000865  0.000120 -0.000552 -0.042464 -0.053490  0.568918 -0.819553
2001-308T14:06:15.000  0.000869  0.000118 -0.000539 -0.042840 -0.053304  0.569163 -0.819376
2001-308T14:06:16.000  0.000866  0.000107 -0.000536 -0.043218 -0.053115  0.569403 -0.819202
2001-308T14:06:17.000  0.000884  0.000126 -0.000529 -0.043604 -0.052922  0.569642 -0.819027
2001-308T14:06:18.000  0.000901  0.000114 -0.000509 -0.043994 -0.052724  0.569876 -0.818857
2001-308T14:06:19.000  0.000909  0.000129 -0.000507 -0.044389 -0.052524  0.570105 -0.818689
2001-308T14:06:20.000  0.000943  0.000125 -0.000487 -0.044791 -0.052317  0.570329 -0.818524
2001-308T14:06:21.000  0.000946  0.000128 -0.000467 -0.045202 -0.052106  0.570550 -0.818360
2001-308T14:06:22.000  0.000973  0.000127 -0.000463 -0.045619 -0.051890  0.570766 -0.818201
2001-308T14:06:23.000  0.000998  0.000123 -0.000464 -0.046043 -0.051668  0.570975 -0.818045
2001-308T14:06:24.000  0.001017  0.000126 -0.000439 -0.046475 -0.051441  0.571178 -0.817893
2001-308T14:06:25.000  0.001019  0.000116 -0.000420 -0.046913 -0.051210  0.571376 -0.817745
2001-308T14:06:26.000  0.001035  0.000127 -0.000401 -0.047357 -0.050975  0.571565 -0.817601
2001-308T14:06:27.000  0.001056  0.000122 -0.000405 -0.047809 -0.050736  0.571750 -0.817460
2001-308T14:06:28.000  0.001083  0.000123 -0.000385 -0.048272 -0.050489  0.571931 -0.817322
2001-308T14:06:29.000  0.001075  0.000115 -0.000361 -0.048737 -0.050241  0.572105 -0.817188
2001-308T14:06:30.000  0.001105  0.000124 -0.000358 -0.049211 -0.049989  0.572273 -0.817058
2001-308T14:06:31.000  0.001112  0.000119 -0.000332 -0.049695 -0.049728  0.572434 -0.816931
2001-308T14:06:32.000  0.001147  0.000129 -0.000298 -0.050187 -0.049464  0.572585 -0.816811
2001-308T14:06:33.000  0.001160  0.000128 -0.000269 -0.050694 -0.049188  0.572728 -0.816697
2001-308T14:06:34.000  0.001198  0.000128 -0.000253 -0.051213 -0.048905  0.572859 -0.816589
2001-308T14:06:35.000  0.001233  0.000132 -0.000210 -0.051743 -0.048615  0.572978 -0.816490
2001-308T14:06:36.000  0.001281  0.000121 -0.000182 -0.052289 -0.048313  0.573085 -0.816398
2001-308T14:06:37.000  0.001310  0.000135 -0.000140 -0.052854 -0.048000  0.573179 -0.816314
2001-308T14:06:38.000  0.001339  0.000136 -0.000119 -0.053433 -0.047677  0.573260 -0.816238
2001-308T14:06:39.000  0.001371  0.000161 -0.000073 -0.054020 -0.047348  0.573326 -0.816172
2001-308T14:06:40.000  0.001420  0.000152 -0.000030 -0.054638 -0.047000  0.573379 -0.816114
2001-308T14:06:41.000  0.001468  0.000142  0.000010 -0.055272 -0.046641  0.573416 -0.816066
2001-308T14:06:42.000  0.001529  0.000132  0.000050 -0.055923 -0.046270  0.573437 -0.816028
2001-308T14:06:43.000  0.001568  0.000136  0.000100 -0.056599 -0.045884  0.573437 -0.816003
2001-308T14:06:44.000  0.001607  0.000133  0.000153 -0.057299 -0.045482  0.573417 -0.815991
2001-308T14:06:45.000  0.001649  0.000141  0.000197 -0.058015 -0.045070  0.573375 -0.815992
2001-308T14:06:46.000  0.001698  0.000150  0.000248 -0.058753 -0.044644  0.573318 -0.816004
2001-308T14:06:47.000  0.001730  0.000173  0.000295 -0.059513 -0.044207  0.573241 -0.816026
