PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 709                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P106"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:31.91                                     
START_TIME                    = 2001-12-14T04:10:07.00Z                                    
STOP_TIME                     = 2001-12-14T04:21:17.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 671                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 106 of aerobraking at Mars.  The data comes from                       
  p106_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-348T04:11:44.000  0.001044  0.000399 -0.000227 -0.053772  0.099638 -0.512259  0.851335
2001-348T04:11:45.000  0.001031  0.000402 -0.000224 -0.053239  0.099534 -0.512419  0.851285
2001-348T04:11:46.000  0.001043  0.000393 -0.000237 -0.052706  0.099429 -0.512579  0.851234
2001-348T04:11:47.000  0.001053  0.000392 -0.000219 -0.052172  0.099324 -0.512738  0.851183
2001-348T04:11:48.000  0.001040  0.000392 -0.000228 -0.051640  0.099220 -0.512896  0.851132
2001-348T04:11:49.000  0.001037  0.000395 -0.000222 -0.051105  0.099115 -0.513054  0.851082
2001-348T04:11:50.000  0.001045  0.000408 -0.000232 -0.050567  0.099010 -0.513212  0.851031
2001-348T04:11:51.000  0.001049  0.000384 -0.000234 -0.050029  0.098906 -0.513370  0.850979
2001-348T04:11:52.000  0.001061  0.000396 -0.000237 -0.049491  0.098801 -0.513528  0.850928
2001-348T04:11:53.000  0.001050  0.000400 -0.000222 -0.048954  0.098697 -0.513684  0.850877
2001-348T04:11:54.000  0.001057  0.000402 -0.000222 -0.048413  0.098592 -0.513842  0.850825
2001-348T04:11:55.000  0.001045  0.000395 -0.000216 -0.047871  0.098487 -0.513998  0.850773
2001-348T04:11:56.000  0.001047  0.000411 -0.000240 -0.047332  0.098383 -0.514155  0.850720
2001-348T04:11:57.000  0.001055  0.000406 -0.000237 -0.046788  0.098278 -0.514311  0.850668
2001-348T04:11:58.000  0.001060  0.000419 -0.000224 -0.046244  0.098173 -0.514466  0.850616
2001-348T04:11:59.000  0.001075  0.000414 -0.000231 -0.045701  0.098067 -0.514622  0.850563
2001-348T04:11:60.000  0.001059  0.000410 -0.000223 -0.045158  0.097962 -0.514777  0.850511
2001-348T04:12:01.000  0.001061  0.000404 -0.000220 -0.044610  0.097856 -0.514931  0.850459
2001-348T04:12:02.000  0.001078  0.000406 -0.000214 -0.044065  0.097749 -0.515083  0.850407
2001-348T04:12:03.000  0.001091  0.000418 -0.000207 -0.043513  0.097643 -0.515235  0.850356
2001-348T04:12:04.000  0.001066  0.000408 -0.000211 -0.042963  0.097536 -0.515385  0.850305
2001-348T04:12:05.000  0.001078  0.000411 -0.000204 -0.042409  0.097428 -0.515534  0.850255
2001-348T04:12:06.000  0.001086  0.000415 -0.000203 -0.041856  0.097319 -0.515682  0.850206
2001-348T04:12:07.000  0.001104  0.000283 -0.000246 -0.041310  0.097174 -0.515832  0.850157
2001-348T04:12:08.000  0.001129 -0.000037 -0.000336 -0.040825  0.096918 -0.515988  0.850115
2001-348T04:12:09.000  0.001144 -0.000067 -0.000239 -0.040378  0.096589 -0.516141  0.850082
2001-348T04:12:10.000  0.001142 -0.000083 -0.000187 -0.039926  0.096259 -0.516288  0.850051
2001-348T04:12:11.000  0.001152 -0.000068 -0.000155 -0.039466  0.095930 -0.516433  0.850022
2001-348T04:12:12.000  0.001152 -0.000062 -0.000170 -0.039004  0.095601 -0.516575  0.849994
2001-348T04:12:13.000  0.001152 -0.000065 -0.000199 -0.038538  0.095272 -0.516716  0.849966
2001-348T04:12:14.000  0.001160 -0.000061 -0.000213 -0.038069  0.094942 -0.516857  0.849938
2001-348T04:12:15.000  0.001181 -0.000052 -0.000214 -0.037598  0.094612 -0.516993  0.849913
2001-348T04:12:16.000  0.001173 -0.000055 -0.000202 -0.037123  0.094282 -0.517126  0.849890
2001-348T04:12:17.000  0.001182 -0.000063 -0.000176 -0.036641  0.093950 -0.517256  0.849869
2001-348T04:12:18.000  0.001206 -0.000058 -0.000133 -0.036157  0.093617 -0.517379  0.849852
2001-348T04:12:19.000  0.001193 -0.000046 -0.000112 -0.035671  0.093284 -0.517498  0.849836
2001-348T04:12:20.000  0.001201 -0.000061 -0.000120 -0.035180  0.092948 -0.517614  0.849823
2001-348T04:12:21.000  0.001212 -0.000053 -0.000143 -0.034687  0.092611 -0.517727  0.849811
2001-348T04:12:22.000  0.001216 -0.000044 -0.000129 -0.034192  0.092275 -0.517834  0.849802
2001-348T04:12:23.000  0.001218 -0.000056 -0.000129 -0.033688  0.091932 -0.517940  0.849795
2001-348T04:12:24.000  0.001222 -0.000051 -0.000097 -0.033184  0.091590 -0.518040  0.849791
2001-348T04:12:25.000  0.001229 -0.000058 -0.000068 -0.032704  0.091265 -0.518129  0.849790
2001-348T04:12:26.000  0.001243 -0.000057 -0.000052 -0.032164  0.090903 -0.518222  0.849793
2001-348T04:12:27.000  0.001264 -0.000054 -0.000039 -0.031648  0.090557 -0.518305  0.849798
2001-348T04:12:28.000  0.001273 -0.000055 -0.000039 -0.031127  0.090209 -0.518383  0.849807
