PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 808                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P162"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:46.95                                     
START_TIME                    = 2001-12-24T15:46:45.00Z                                    
STOP_TIME                     = 2001-12-24T15:59:34.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 770                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 162 of aerobraking at Mars.  The data comes from                       
  p162_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-358T15:48:37.000  0.001159 -0.000205 -0.000240  0.208927 -0.134480  0.475112 -0.844117
2001-358T15:48:38.000  0.001152 -0.000207 -0.000232  0.208504 -0.134097  0.475269 -0.844194
2001-358T15:48:39.000  0.001163 -0.000207 -0.000245  0.208080 -0.133713  0.475425 -0.844271
2001-358T15:48:40.000  0.001170 -0.000211 -0.000247  0.207654 -0.133328  0.475582 -0.844349
2001-358T15:48:41.000  0.001176 -0.000200 -0.000235  0.207226 -0.132942  0.475738 -0.844427
2001-358T15:48:42.000  0.001160 -0.000198 -0.000233  0.206801 -0.132557  0.475891 -0.844506
2001-358T15:48:43.000  0.001164 -0.000204 -0.000249  0.206372 -0.132168  0.476046 -0.844584
2001-358T15:48:44.000  0.001186 -0.000205 -0.000245  0.205938 -0.131776  0.476201 -0.844664
2001-358T15:48:45.000  0.001191 -0.000208 -0.000228  0.205503 -0.131383  0.476355 -0.844744
2001-358T15:48:46.000  0.001199 -0.000208 -0.000232  0.205065 -0.130987  0.476509 -0.844825
2001-358T15:48:47.000  0.001198 -0.000222 -0.000240  0.204623 -0.130588  0.476662 -0.844908
2001-358T15:48:48.000  0.001195 -0.000221 -0.000233  0.204179 -0.130189  0.476814 -0.844991
2001-358T15:48:49.000  0.001204 -0.000214 -0.000225  0.203730 -0.129786  0.476965 -0.845076
2001-358T15:48:50.000  0.001233 -0.000213 -0.000222  0.203278 -0.129380  0.477116 -0.845162
2001-358T15:48:51.000  0.001244 -0.000216 -0.000219  0.202822 -0.128972  0.477266 -0.845249
2001-358T15:48:52.000  0.001253 -0.000217 -0.000213  0.202363 -0.128560  0.477415 -0.845338
2001-358T15:48:53.000  0.001258 -0.000222 -0.000213  0.201900 -0.128146  0.477564 -0.845428
2001-358T15:48:54.000  0.001263 -0.000216 -0.000209  0.201447 -0.127741  0.477707 -0.845516
2001-358T15:48:55.000  0.001268 -0.000222 -0.000212  0.200967 -0.127312  0.477856 -0.845611
2001-358T15:48:56.000  0.001290 -0.000226 -0.000209  0.200493 -0.126891  0.478000 -0.845705
2001-358T15:48:57.000  0.001310 -0.000237 -0.000199  0.200015 -0.126466  0.478143 -0.845801
2001-358T15:48:58.000  0.001314 -0.000238 -0.000180  0.199533 -0.126039  0.478283 -0.845900
2001-358T15:48:59.000  0.001313 -0.000238 -0.000189  0.199046 -0.125607  0.478422 -0.846000
2001-358T15:48:60.000  0.001325 -0.000237 -0.000191  0.198553 -0.125172  0.478561 -0.846101
2001-358T15:49:01.000  0.001337 -0.000237 -0.000179  0.198057 -0.124736  0.478698 -0.846205
2001-358T15:49:02.000  0.001348 -0.000236 -0.000172  0.197556 -0.124297  0.478834 -0.846310
2001-358T15:49:03.000  0.001357 -0.000245 -0.000170  0.197052 -0.123853  0.478968 -0.846416
2001-358T15:49:04.000  0.001364 -0.000262 -0.000160  0.196543 -0.123406  0.479100 -0.846525
2001-358T15:49:05.000  0.001385 -0.000249 -0.000159  0.196029 -0.122956  0.479232 -0.846635
2001-358T15:49:06.000  0.001391 -0.000239 -0.000164  0.195510 -0.122503  0.479361 -0.846748
2001-358T15:49:07.000  0.001398 -0.000248 -0.000161  0.194991 -0.122049  0.479488 -0.846861
2001-358T15:49:08.000  0.001402 -0.000248 -0.000154  0.194468 -0.121592  0.479614 -0.846976
2001-358T15:49:09.000  0.001408 -0.000259 -0.000144  0.193941 -0.121132  0.479737 -0.847093
2001-358T15:49:10.000  0.001426 -0.000262 -0.000134  0.193409 -0.120668  0.479859 -0.847211
2001-358T15:49:11.000  0.001442 -0.000257 -0.000132  0.192874 -0.120203  0.479978 -0.847332
2001-358T15:49:12.000  0.001447 -0.000258 -0.000126  0.192334 -0.119735  0.480093 -0.847456
2001-358T15:49:13.000  0.001452 -0.000250 -0.000115  0.191789 -0.119264  0.480206 -0.847582
2001-358T15:49:14.000  0.001463 -0.000245 -0.000117  0.191241 -0.118791  0.480317 -0.847709
2001-358T15:49:15.000  0.001482 -0.000271 -0.000105  0.190686 -0.118312  0.480425 -0.847840
2001-358T15:49:16.000  0.001501 -0.000287 -0.000100  0.190122 -0.117826  0.480531 -0.847975
2001-358T15:49:17.000  0.001523 -0.000286 -0.000094  0.189554 -0.117339  0.480633 -0.848111
2001-358T15:49:18.000  0.001535 -0.000287 -0.000070  0.188978 -0.116847  0.480731 -0.848252
2001-358T15:49:19.000  0.001556 -0.000282 -0.000067  0.188396 -0.116352  0.480827 -0.848395
2001-358T15:49:20.000  0.001578 -0.000284 -0.000072  0.187807 -0.115851  0.480920 -0.848542
2001-358T15:49:21.000  0.001581 -0.000282 -0.000066  0.187210 -0.115345  0.481011 -0.848691
2001-358T15:49:22.000  0.001605 -0.000291 -0.000053  0.186604 -0.114832  0.481102 -0.848843
2001-358T15:49:23.000  0.001637 -0.000301 -0.000043  0.185994 -0.114317  0.481189 -0.848997
2001-358T15:49:24.000  0.001641 -0.000302 -0.000040  0.185372 -0.113793  0.481274 -0.849155
