NAC image,http://lroc.sese.asu.edu/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0032/DATA/ESM3/2017246/NAC/M1259058367LE.IMG,,,,
,,,,,
Crater name,Zi Wei,,,,
Crater diameter,450 <m>,,,,
,,,,,
Crater center,LAT,LON,,,
,44.12,-19.53,,,
,,,,,
Total count area ,2.9 <km^2>,,,,
,,,,,
BOULDER_DIAM_km,BOULDER_DIAM_m,LON,LAT,DISTANCE_m,DISTANCE_CRATER_RADII
0.003232854,3.232853973,-19.50337475,44.1481096,1030.45076,3.579781153
0.003667225,3.667225053,-19.50320097,44.14874098,1048.432253,3.659698902
0.002791082,2.791081832,-19.5028964,44.14841003,1043.839504,3.639286684
0.002504102,2.504102391,-19.5033415,44.14761436,1018.482352,3.526588232
0.002968253,2.968252548,-19.50266355,44.14783734,1032.472562,3.588766944
0.002611556,2.611555904,-19.50371651,44.14956717,1063.261536,3.725606827
0.008448024,8.448024032,-19.50480888,44.14840143,1020.687426,3.536388562
0.003503439,3.503438534,-19.50530002,44.14981283,1051.527858,3.673457145
0.004840174,4.840173558,-19.50458792,44.14775284,1006.789857,3.474621586
0.002202497,2.202496763,-19.50459583,44.14800085,1012.987225,3.502165444
0.002612137,2.612137052,-19.50686457,44.14871829,1005.685673,3.469714101
0.005223545,5.223545066,-19.50683959,44.14784125,983.0380305,3.369057913
0.004136965,4.136964636,-19.50758555,44.14988638,1028.964295,3.573174646
0.002088322,2.088322176,-19.50511316,44.14945138,1044.227452,3.641010898
0.003539068,3.539068461,-19.50493443,44.14755333,997.5995743,3.433775886
0.002352577,2.352577028,-19.50571364,44.14818627,1004.699406,3.465330694
0.00406724,4.067239662,-19.50803572,44.14880044,995.359521,3.423820093
0.002267388,2.267387676,-19.5101226,44.14781152,947.6024076,3.211566256
0.002639414,2.639413606,-19.51035036,44.14771059,942.6230481,3.189435769
0.002046536,2.046536234,-19.51054951,44.14829502,956.521359,3.25120604
0.00201947,2.019469737,-19.51051897,44.1501117,1006.484327,3.473263677
0.002709785,2.709784926,-19.51061326,44.14781152,942.7775666,3.190122518
0.003355768,3.355767519,-19.51124667,44.14954761,984.3323579,3.374810479
0.002416568,2.416567984,-19.50953609,44.15066875,1030.880038,3.581689059
