PDS_VERSION_ID                = PDS3                                          
                                                                              
RECORD_TYPE                   = FIXED_LENGTH                                  
RECORD_BYTES                  = 80                                            
FILE_RECORDS                  = 809                                           
LABEL_RECORDS                 = 42                                            
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,3(1X,F11.8))"  
^TABLE                        = 44                                            
PRODUCT_ID                    = "ACCELEROMETER_DATA_P164"                     
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                           
INSTRUMENT_NAME               = "ACCELEROMETER"                               
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                
TARGET_NAME                   = MARS                                          
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:47.31                        
START_TIME                    = 2001-12-24T22:54:16.00Z                       
STOP_TIME                     = 2001-12-24T23:07:01.00Z                       
                                                                              
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                      
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                      
                                                                              
OBJECT                        = TABLE                                         
 ROWS                         = 766                                           
 ROW_BYTES                    = 80                                            
 INTERCHANGE_FORMAT           = ASCII                                         
 COLUMNS                      = 4                                             
 ^STRUCTURE                   = "ACCEL.FMT"                                   
 DESCRIPTION                  = "                                             
  The data in this file are the 1 second accelerometer data from Mars Odyssey 
  for orbit 164 of aerobraking at Mars.  The data comes from telemetry file   
  p164_accel_raw1_1hz.drf which is converted from a higher sample rate        
  to 1 second acceleration by the GDS. The sample rate changed twice during   
  the mission (TOLSONETAL2005) which changed the noise level on the 1 sec data
  The data is also adjusted for angular motion due to the offset              
  of the IMU from the center of mass and interpolated to the same time stamps 
  as the rate and quaternion data.                                            
                                                                              
  Robert H. Tolson                                                            
  03-Nov-2007                                                                 
  "                                                                           
                                                                              
END_OBJECT                    = TABLE                                         
END                                                                           
                                                                              
2001-358T22:55:35.000  0.00003927 -0.00026472  0.00012637                     
2001-358T22:55:36.000 -0.00005102  0.00039232  0.00016141                     
2001-358T22:55:37.000 -0.00053265  0.00017896  0.00050698                     
2001-358T22:55:38.000  0.00027169  0.00024267  0.00035984                     
2001-358T22:55:39.000  0.00019544 -0.00055957 -0.00066953                     
2001-358T22:55:40.000  0.00031642 -0.00001938 -0.00068953                     
2001-358T22:55:41.000 -0.00071600  0.00013371 -0.00004556                     
2001-358T22:55:42.000 -0.00041544  0.00036075  0.00045886                     
2001-358T22:55:43.000 -0.00014723  0.00007622  0.00041405                     
2001-358T22:55:44.000  0.00019023  0.00022136  0.00036584                     
2001-358T22:55:45.000  0.00025331  0.00024041  0.00005180                     
2001-358T22:55:46.000 -0.00031056  0.00053364  0.00068121                     
2001-358T22:55:47.000 -0.00033183  0.00012002  0.00081998                     
2001-358T22:55:48.000  0.00025947 -0.00030877 -0.00025910                     
2001-358T22:55:49.000  0.00042072 -0.00025063 -0.00072715                     
2001-358T22:55:50.000  0.00022932  0.00006531 -0.00036874                     
2001-358T22:55:51.000 -0.00025395  0.00047671 -0.00010025                     
2001-358T22:55:52.000 -0.00055965  0.00048982  0.00011501                     
2001-358T22:55:53.000  0.00000707  0.00025020  0.00038215                     
2001-358T22:55:54.000 -0.00006595 -0.00017270  0.00009784                     
2001-358T22:55:55.000  0.00025857  0.00020208 -0.00027032                     
2001-358T22:55:56.000 -0.00031803  0.00012803 -0.00036124                     
2001-358T22:55:57.000  0.00007271  0.00033560 -0.00005113                     
2001-358T22:55:58.000 -0.00011069 -0.00012762  0.00023666                     
2001-358T22:55:59.000  0.00021974 -0.00001454  0.00025144                     
2001-358T22:55:60.000 -0.00043477 -0.00053347 -0.00054787                     
2001-358T22:56:01.000 -0.00070026  0.00019564 -0.00058110                     
