frame,site,drive,pose,min_sclk,max_sclk,approx_min_sclk,approx_max_sclk,steer_LF,steer_LR,steer_RF,steer_RR,drive_LF,drive_LM,drive_LR,drive_RF,drive_RM,drive_RR
INMOTION,3,578,32,668453061,668453146,668453061,668453146,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,34,668453164,668453223,668453164,668453223,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,36,668453245,668453245,668453245,668453300,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,38,668453387,668453505,668453387,668453505,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,40,,,668453605,668453605,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,42,668453669,668453758,668453669,668453758,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,44,668453802,668453893,668453802,668453893,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,46,668453950,668454047,668453950,668454047,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,54,668454698,668454804,668454698,668454804,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,56,668454909,668454987,668454909,668454987,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,214,668543317,668545279,668543317,668545279,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,218,668545352,668545665,668545352,668545665,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,222,668545735,668547177,668545735,668547177,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,226,668547247,668547577,668547247,668547577,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,230,668555509,668556082.855,668555509,668556082.855,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,232,668556139,668556149.008,668556139,668556149.008,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,234,668557072,668725020,668557072,668725020,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,704,2,668725674,668725726,668725674,668725726,4.26106e-05,0,0,-0.000894822,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,740,2,668725900,668725926,668725900,668725926,4.26106e-05,-0.000213053,8.52212e-05,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,770,6,668726107,668795022,668726107,668795022,8.52212e-05,-0.000213053,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,770,24,668809407,668809495,668809407,668809495,8.52212e-05,-0.000213053,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,770,30,668810102,668810143,668810102,668810143,8.52212e-05,-0.000213053,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,770,82,668900514,668986845,668900514,668986845,8.52212e-05,-0.000213053,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,776,2,668986905,668987152,668986905,668987152,4.26106e-05,-0.000213053,0.00102265,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,792,4,668987398,669080263,668987398,669080263,0,4.26106e-05,0,0.000213053,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,792,12,669081135,669252430,669081135,669252430,0,4.26106e-05,0,0.000213053,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,792,64,669335977,669427986,669335977,669427986,0,4.26106e-05,0,0.000213053,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,792,68,669431766,669431786,669431766,669431786,0,4.26106e-05,0,0.000213053,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,792,70,669431859,669431881,669431859,669431881,0,4.26106e-05,0,0.000213053,-9999,-9999,-9999,-9999,-9999,-9999
