PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 732                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P118"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:35.17                                     
START_TIME                    = 2001-12-16T22:10:30.00Z                                    
STOP_TIME                     = 2001-12-16T22:22:03.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 694                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 118 of aerobraking at Mars.  The data comes from                       
  p118_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-350T22:11:24.000  0.001117 -0.000148  0.000064 -0.124169  0.098845 -0.482192  0.861570
2001-350T22:11:25.000  0.001116 -0.000152  0.000046 -0.123715  0.098515 -0.482215  0.861660
2001-350T22:11:26.000  0.001123 -0.000130  0.000066 -0.123267  0.098190 -0.482238  0.861749
2001-350T22:11:27.000  0.001122 -0.000159  0.000060 -0.122817  0.097861 -0.482261  0.861838
2001-350T22:11:28.000  0.001104 -0.000146  0.000069 -0.122370  0.097535 -0.482282  0.861926
2001-350T22:11:29.000  0.001121 -0.000128  0.000055 -0.121918  0.097207 -0.482304  0.862015
2001-350T22:11:30.000  0.001118 -0.000143  0.000050 -0.121469  0.096881 -0.482325  0.862103
2001-350T22:11:31.000  0.001106 -0.000147  0.000050 -0.121020  0.096553 -0.482346  0.862191
2001-350T22:11:32.000  0.001116 -0.000142  0.000058 -0.120570  0.096225 -0.482366  0.862280
2001-350T22:11:33.000  0.001122 -0.000151  0.000060 -0.120119  0.095896 -0.482387  0.862368
2001-350T22:11:34.000  0.001111 -0.000142  0.000059 -0.119671  0.095569 -0.482407  0.862455
2001-350T22:11:35.000  0.001116 -0.000145  0.000068 -0.119222  0.095240 -0.482426  0.862543
2001-350T22:11:36.000  0.001125 -0.000155  0.000064 -0.118774  0.094911 -0.482446  0.862630
2001-350T22:11:37.000  0.001120 -0.000137  0.000068 -0.118321  0.094580 -0.482465  0.862718
2001-350T22:11:38.000  0.001115 -0.000154  0.000054 -0.117874  0.094251 -0.482484  0.862804
2001-350T22:11:39.000  0.001125 -0.000131  0.000064 -0.117422  0.093919 -0.482504  0.862891
2001-350T22:11:40.000  0.001113 -0.000139  0.000075 -0.116979  0.093593 -0.482522  0.862977
2001-350T22:11:41.000  0.001110 -0.000168  0.000066 -0.116525  0.093258 -0.482539  0.863065
2001-350T22:11:42.000  0.001116 -0.000151  0.000069 -0.116078  0.092928 -0.482556  0.863151
2001-350T22:11:43.000  0.001123 -0.000159  0.000056 -0.115627  0.092595 -0.482574  0.863238
2001-350T22:11:44.000  0.001108 -0.000144  0.000068 -0.115179  0.092265 -0.482591  0.863323
2001-350T22:11:45.000  0.001122 -0.000157  0.000058 -0.114728  0.091930 -0.482608  0.863409
2001-350T22:11:46.000  0.001105 -0.000155  0.000067 -0.114283  0.091600 -0.482624  0.863495
2001-350T22:11:47.000  0.001108 -0.000170  0.000049 -0.113829  0.091264 -0.482641  0.863581
2001-350T22:11:48.000  0.001139 -0.000148  0.000065 -0.113379  0.090931 -0.482657  0.863666
2001-350T22:11:49.000  0.001117 -0.000167  0.000079 -0.112926  0.090595 -0.482673  0.863752
2001-350T22:11:50.000  0.001127 -0.000166  0.000064 -0.112477  0.090262 -0.482689  0.863836
2001-350T22:11:51.000  0.001140 -0.000156  0.000077 -0.112025  0.089926 -0.482704  0.863922
2001-350T22:11:52.000  0.001114 -0.000153  0.000061 -0.111574  0.089591 -0.482719  0.864006
2001-350T22:11:53.000  0.001129 -0.000153  0.000053 -0.111120  0.089254 -0.482735  0.864091
2001-350T22:11:54.000  0.001129 -0.000155  0.000070 -0.110668  0.088917 -0.482750  0.864175
2001-350T22:11:55.000  0.001146 -0.000159  0.000067 -0.110214  0.088578 -0.482766  0.864259
2001-350T22:11:56.000  0.001128 -0.000171  0.000056 -0.109767  0.088243 -0.482782  0.864342
2001-350T22:11:57.000  0.001122 -0.000146  0.000068 -0.109309  0.087902 -0.482796  0.864427
2001-350T22:11:58.000  0.001138 -0.000163  0.000068 -0.108857  0.087563 -0.482809  0.864510
2001-350T22:11:59.000  0.001143 -0.000159  0.000042 -0.108400  0.087221 -0.482824  0.864594
2001-350T22:11:60.000  0.001127 -0.000156  0.000066 -0.107947  0.086882 -0.482838  0.864677
2001-350T22:12:01.000  0.001127 -0.000161  0.000068 -0.107490  0.086540 -0.482852  0.864761
2001-350T22:12:02.000  0.001147 -0.000163  0.000065 -0.107035  0.086199 -0.482865  0.864844
2001-350T22:12:03.000  0.001130 -0.000176  0.000059 -0.106576  0.085855 -0.482879  0.864927
2001-350T22:12:04.000  0.001142 -0.000166  0.000050 -0.106120  0.085513 -0.482893  0.865009
2001-350T22:12:05.000  0.001147 -0.000143  0.000057 -0.105660  0.085167 -0.482906  0.865092
2001-350T22:12:06.000  0.001146 -0.000190  0.000067 -0.105205  0.084825 -0.482920  0.865174
